category,filename,transparent,purpose,relative_path
"07-app-store","aayi-onboarding-screen-01-pregnancy-support-1080x1920.png","False","onboarding screen 01 pregnancy support 1080x1920","07-app-store/aayi-onboarding-screen-01-pregnancy-support-1080x1920.png"
"07-app-store","aayi-onboarding-screen-02-motherhood-companion-1080x1920.png","False","onboarding screen 02 motherhood companion 1080x1920","07-app-store/aayi-onboarding-screen-02-motherhood-companion-1080x1920.png"
"07-app-store","aayi-onboarding-screen-03-ai-companion-1080x1920.png","False","onboarding screen 03 ai companion 1080x1920","07-app-store/aayi-onboarding-screen-03-ai-companion-1080x1920.png"
"07-app-store","aayi-onboarding-screen-04-doctor-support-1080x1920.png","False","onboarding screen 04 doctor support 1080x1920","07-app-store/aayi-onboarding-screen-04-doctor-support-1080x1920.png"
"08-backgrounds","aayi-background-soft-cream-brand-blank-3840x2160.png","False","background soft cream brand blank 3840x2160","08-backgrounds/aayi-background-soft-cream-brand-blank-3840x2160.png"
"08-backgrounds","aayi-background-terracotta-gradient-blank-3840x2160.png","False","background terracotta gradient blank 3840x2160","08-backgrounds/aayi-background-terracotta-gradient-blank-3840x2160.png"
"08-backgrounds","aayi-background-motherhood-pattern-subtle-3840x2160.png","False","background motherhood pattern subtle 3840x2160","08-backgrounds/aayi-background-motherhood-pattern-subtle-3840x2160.png"
"08-backgrounds","aayi-background-organic-blob-pattern-3840x2160.png","False","background organic blob pattern 3840x2160","08-backgrounds/aayi-background-organic-blob-pattern-3840x2160.png"
"08-backgrounds","aayi-background-presentation-title-slide-3840x2160.png","False","background presentation title slide 3840x2160","08-backgrounds/aayi-background-presentation-title-slide-3840x2160.png"
"08-backgrounds","aayi-background-webinar-cover-1920x1080.png","False","background webinar cover 1920x1080","08-backgrounds/aayi-background-webinar-cover-1920x1080.png"
